Entry Time,Exit Time,Symbol,Direction,Reason,Entry Price,Exit Price,Amount,Leverage,Stop Loss,Take Profit,PnL (USDT),ROE (%),Fee (USDT)
2025-06-11 02:03:11,2025-06-11 02:35:16,ETH/USDT,LONG,Take Profit,2759.8600,2788.2800,1.000000,5x,2732.2614,2787.4586,25.6459,4.65,2.7741
2025-06-11 02:45:00,2025-06-11 04:16:01,ETH/USDT,LONG,Stop Loss,2781.3100,2739.3300,1.000000,5x,2753.4969,2809.1231,-44.7403,-8.04,2.7603
2025-06-11 04:16:01,2025-06-11 04:36:04,ETH/USDT,LONG,Take Profit,2739.3300,2769.0600,1.000000,5x,2711.9367,2766.7233,26.9758,4.92,2.7542
2025-06-11 04:38:02,2025-06-11 05:03:02,ETH/USDT,LONG,Take Profit,2760.0000,2797.9900,1.000000,5x,2732.4000,2787.6000,35.2110,6.38,2.7790
2025-06-11 05:17:02,2025-06-11 09:50:06,ETH/USDT,LONG,Stop Loss,2802.5400,2773.8100,1.000000,5x,2774.5146,2830.5654,-31.5182,-5.62,2.7882
